24/11/2020 20:33:20 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:34:58 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:44:35 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:45:31 Se conecto con ip:127.0.0.1 SE: 77391571
9/12/2020 10:42:28 Se conecto con ip:127.0.0.1 SE: 77391571
15/12/2020 09:31:26 Se conecto con ip:127.0.0.1 SE: 77391571
18/1/2021 11:31:30 Transporto a Snow hacia Mapa32 X:54 Y:54
18/1/2021 11:31:30 Transporto a Snow hacia Mapa32 X:49 Y:54
18/1/2021 11:31:31 Transporto a Snow hacia Mapa32 X:47 Y:52
18/1/2021 11:31:31 Transporto a Snow hacia Mapa32 X:47 Y:49
18/1/2021 11:31:31 Transporto a Snow hacia Mapa32 X:46 Y:51
18/1/2021 11:31:31 Transporto a Snow hacia Mapa32 X:44 Y:54
18/1/2021 11:31:32 Transporto a Snow hacia Mapa32 X:41 Y:55
18/1/2021 11:31:33 Transporto a Snow hacia Mapa32 X:38 Y:59
18/1/2021 11:31:33 Transporto a Snow hacia Mapa32 X:34 Y:63
18/1/2021 11:31:33 Transporto a Snow hacia Mapa32 X:37 Y:67
18/1/2021 11:31:34 Transporto a Snow hacia Mapa32 X:42 Y:71
18/1/2021 11:31:34 Transporto a Snow hacia Mapa32 X:46 Y:74
18/1/2021 11:31:35 Transporto a Snow hacia Mapa32 X:45 Y:78
18/1/2021 11:31:35 Transporto a Snow hacia Mapa32 X:45 Y:82
18/1/2021 11:31:35 Transporto a Snow hacia Mapa32 X:47 Y:85
18/1/2021 11:31:35 Transporto a Snow hacia Mapa32 X:47 Y:88
18/1/2021 11:31:35 Transporto a Snow hacia Mapa32 X:45 Y:91
18/1/2021 11:31:36 Transporto a Snow hacia Mapa32 X:50 Y:86
18/1/2021 11:31:36 Transporto a Snow hacia Mapa32 X:56 Y:82
18/1/2021 11:31:36 Transporto a Snow hacia Mapa32 X:59 Y:79
18/1/2021 11:31:36 Transporto a Snow hacia Mapa32 X:60 Y:76
18/1/2021 11:31:37 Transporto a Snow hacia Mapa32 X:57 Y:72
18/1/2021 11:31:37 Transporto a Snow hacia Mapa32 X:52 Y:68
18/1/2021 11:31:37 Transporto a Snow hacia Mapa32 X:49 Y:65
18/1/2021 11:31:37 Transporto a Snow hacia Mapa32 X:47 Y:62
18/1/2021 11:31:37 Transporto a Snow hacia Mapa32 X:45 Y:59
18/1/2021 11:31:44 Transporto a Snow hacia Mapa161 X:50 Y:50
18/1/2021 11:31:45 Transporto a Snow hacia Mapa161 X:45 Y:52
18/1/2021 11:31:45 Transporto a Snow hacia Mapa161 X:37 Y:50
18/1/2021 11:31:47 Transporto a Snow hacia Mapa161 X:30 Y:53
18/1/2021 11:31:50 Transporto a Snow hacia Mapa161 X:39 Y:49
18/1/2021 11:31:50 Transporto a Snow hacia Mapa161 X:46 Y:43
